Character   Count
=================

the         :1507x
bread-and-butter:   2x
sky.        :   2x
"it"        :   2x
trotting    :   2x
learn!      :   2x
same,       :   2x
voices      :   2x
tasted      :   2x
fight       :   2x
soldiers,   :   2x
paws        :   2x
[later      :   2x
three-legged:   2x
faces,      :   2x
well?'      :   2x
`--and      :   2x
there.      :   2x
wonderful   :   2x
follows     :   2x
uncomfortable.:   2x
`Consider   :   2x
nowhere     :   2x
tumbling    :   2x
No          :   2x
myself,'    :   2x
struck      :   2x
elbow       :   2x
proud       :   2x
again.'     :   2x
adventures  :   2x
`Really,    :   2x
happens     :   2x
Majesty!'   :   2x
voice;      :   2x
Dormouse;   :   2x
it.)        :   2x
quarrelling :   2x
contemptuously.:   2x
croquet.'   :   2x
remember,'  :   2x
honour!'    :   2x
shrill,     :   2x
civil       :   2x
other;      :   2x
sooner      :   2x
folded,     :   2x
extraordinary:   2x
doth        :   2x
wasting     :   2x
HER         :   2x
boots       :   2x
panting,    :   2x
cupboards   :   2x
say.'       :   2x
sight       :   2x
tone;       :   2x
threw       :   2x
again:--    :   2x
sad         :   2x
floor,      :   2x
`They're    :   2x
Pennyworth  :   2x
Alice,)     :   2x
well,'      :   2x
sigh:       :   2x
yesterday   :   2x
ill.'       :   2x
business!'  :   2x
think,'     :   2x
so.         :   2x
them--and   :   2x
certain     :   2x
HIM         :   2x
man,        :   2x
remarkable  :   2x
yawned      :   2x
else.       :   2x
`till       :   2x
drunk       :   2x
useful,     :   2x
lie         :   2x
`Wow!       :   2x
Mercia      :   2x
yourself.'  :   2x
jury.       :   2x
`Well!      :   2x
watched     :   2x
